name,description,price,dyn_inv,category,subcategory,onsale,rating,offer,starttime,endtime,add_text,image-1,image-2,image-3,video_thumbnail,video-1
IsBeautiful Everyday Sunscreen (50 ml),"Never greasy, Feel glowy, Acne Safe",1250,7,Face care,Sunscreens,true ,4.5,20,7,23,"Ingredients: Water, Glycerin, Fragrance.",/images/IB_Everyday_Sunscreen.jpeg,/images/IB_Everyday_Sunscreen.jpeg,/images/IB_Everyday_Sunscreen.jpeg,/images/IB_Everyday_Sunscreen.jpeg,/images/test.mp4
IsBeautiful Party Peel (30 ml),Pre-Party Treatment for Youthful Glow,1190,6,Face care,Face serum,true ,4.5,20,7,23,"Ingredients: Glycolic Acid, Aloe Vera.",/images/IB_Party_Peel.jpeg,/images/IB_Party_Peel.jpeg,/images/IB_Party_Peel.jpeg,/images/IB_Party_Peel.jpeg,/images/test.mp4
IsBeautiful Nia Repair Toner Serum (30 ml),Toner For Open Pores,1390,5,Face care,Face serum,true ,4.5,20,7,23,"Ingredients: Niacinamide, Witch Hazel.",/images/IB_Nia_Repair_Serum.jpeg,/images/IB_Nia_Repair_Serum.jpeg,/images/IB_Nia_Repair_Serum.jpeg,/images/IB_Nia_Repair_Serum.jpeg,/images/test.mp4
IsBeautiful PureGlow Toner Serum (30 ml),For Ultimate Glow + Brightening ,1390,1,Face care,Face serum,true ,4.5,20,7,23,"Ingredients: Vitamin C, Licorice Extract.",/images/IB_Pureglow_Toner_Serum.jpeg,/images/IB_Pureglow_Toner_Serum.jpeg,/images/IB_Pureglow_Toner_Serum.jpeg,/images/IB_Pureglow_Toner_Serum.jpeg,/images/test.mp4
IsBeautiful IntimaPure Serum Lotion (30 ml),Embrace Your Intimate Wellness,790,10,Body,Serum,true ,4.5,20,7,23,"Ingredients: Aloe Vera, Chamomile.",/images/IB_Intimapure_Lotion.jpeg,/images/IB_Intimapure_Lotion.jpeg,/images/IB_Intimapure_Lotion.jpeg,/images/IB_Intimapure_Lotion.jpeg,/images/test.mp4
IsBeautiful Skin Filter Face Wash (Oily to Sensitive)- 100 ml,Salicylic power For Oily & Acne-Prone Skin,790,11,Face care,Face Wash,true ,4.5,20,7,23,"Ingredients: Salicylic Acid, Tea Tree Oil.",/images/IB_Skinfilter_FaceWash.jpg,/images/IB_Skinfilter_FaceWash.jpg,/images/IB_Skinfilter_FaceWash.jpg,/images/IB_Skinfilter_FaceWash.jpg,/images/test.mp4
IsBeautiful Skin Filter Face Wash (Normal to Dry)- 100 ml,"Nourish, Refresh, Enriched withÂ Antioxidants",790,5,Face care,Face Wash,true ,4.5,20,7,23,"Ingredients: Glycerin, Vitamin E.",/images/IB_Skinfilter_FaceWash2.jpeg,/images/IB_Skinfilter_FaceWash2.jpeg,/images/IB_Skinfilter_FaceWash2.jpeg,/images/IB_Skinfilter_FaceWash2.jpeg,/images/test.mp4
IsBeautiful Skin Filter Mask (25 gm)- 6 Pcs.,Harnesses the power of nature,1440,4,Face care,Face Mask,true ,4.5,20,7,23,"Ingredients: Charcoal, Clay.",/images/IB_Skinfilter_Charcoal_Mask.jpeg,/images/IB_Skinfilter_Charcoal_Mask.jpeg,/images/IB_Skinfilter_Charcoal_Mask.jpeg,/images/IB_Skinfilter_Charcoal_Mask.jpeg,/images/test.mp4
IsBeautiful Skin Filter Mask Vit.C (25 gm)- 10 Pcs.,Harnesses the power of nature,2400,2,Face care,Face Mask,true ,4.5,20,7,23,"Ingredients: Vitamin C, Hyaluronic Acid.",/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/test.mp4
IsBeautiful Skin Filter Mask Arbutin (25 gm)- 10 Pcs.,Harnesses the power of nature,2400,19,Face care,Face Mask,true ,4.5,20,7,23,"Ingredients: Arbutin, Niacinamide.",/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/test.mp4
IsBeautiful Skin Filter Mask Collagen (25 gm)- 10 Pcs.,Harnesses the power of nature,2400,20,Face care,Face Mask,true ,4.5,20,7,23,"Ingredients: Collagen, Elastin.",/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/IB_Skin_Filter_Mask_Pouches.jpg,/images/test.mp4
Pedicalm Intensive Hydration Balm- Hand & Feet Cream (80 gm),"Improves the elasticity of your skin, softening it, and gives your skin a velvety smooth touch.",450,21,Body,Hand & Feet Care,true ,4.5,20,7,23,"Ingredients: Urea, Glycerin.",/images/PC_Hydration_Balm.jpeg,/images/PC_Hydration_Balm.jpeg,/images/PC_Hydration_Balm.jpeg,/images/PC_Hydration_Balm.jpeg,/images/test.mp4
Pedicalm Glycolic Mousse (100 ml),,690,17,Body,Hand & Feet Mousse,true ,4.5,20,7,23,Ingredients: Glycolic Acid.,/images/PC_Glyco_Mousse.jpeg,/images/PC_Glyco_Mousse.jpeg,/images/PC_Glyco_Mousse.jpeg,/images/PC_Glyco_Mousse.jpeg,/images/test.mp4
Pedicalm Urea Mousse (100 ml),"Hydrates deeply, Repair and Soften dry feet",690,7,Body,Hand & Feet Mousse,true ,4.5,20,7,23,"Ingredients: Urea, Aloe Vera.",/images/PC_Urea_Mousse.jpg,/images/PC_Urea_Mousse.jpg,/images/PC_Urea_Mousse.jpg,/images/PC_Urea_Mousse.jpg,/images/test.mp4